epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
73,16240.4,0.58923,0.6648,0.23366,0.70725,0.63638,0.69305,0.41839,0.50554,0.62715,0.25277,0.007624,0.007624,0.007624
74,16453.5,0.59435,0.65529,0.23505,0.72672,0.63627,0.7001,0.42252,0.50108,0.62346,0.25011,0.007591,0.007591,0.007591
75,16659.2,0.59133,0.65927,0.23382,0.69213,0.66345,0.70708,0.43302,0.48964,0.62978,0.24903,0.007558,0.007558,0.007558
76,16947.6,0.59033,0.64372,0.22783,0.71362,0.6555,0.7047,0.43345,0.49354,0.6251,0.24556,0.007525,0.007525,0.007525
77,17205.3,0.58804,0.63933,0.22808,0.71962,0.67849,0.72331,0.44419,0.48854,0.61106,0.2458,0.007492,0.007492,0.007492
78,17440.8,0.58474,0.63885,0.22527,0.75645,0.67129,0.73374,0.44755,0.48396,0.60514,0.24409,0.007459,0.007459,0.007459
79,17651.2,0.59142,0.63289,0.22596,0.74329,0.68309,0.73806,0.45087,0.48013,0.60303,0.25423,0.007426,0.007426,0.007426
80,17870.5,0.56698,0.64172,0.23246,0.74825,0.67484,0.73766,0.44946,0.48893,0.59194,0.24538,0.007393,0.007393,0.007393
81,18147,0.57796,0.63085,0.22638,0.7644,0.6791,0.74519,0.45612,0.48075,0.5944,0.23736,0.00736,0.00736,0.00736
82,18387.1,0.57276,0.63337,0.22966,0.78325,0.68102,0.75686,0.46634,0.47497,0.57653,0.23661,0.007327,0.007327,0.007327
83,18566.1,0.57942,0.619,0.2223,0.76642,0.69424,0.7535,0.46392,0.47188,0.59085,0.23802,0.007294,0.007294,0.007294
84,18808,0.57941,0.62561,0.22158,0.77979,0.69774,0.76028,0.46752,0.47218,0.58509,0.23865,0.007261,0.007261,0.007261
85,19073.5,0.56484,0.63146,0.2216,0.76831,0.70811,0.76001,0.47474,0.46328,0.58893,0.23238,0.007228,0.007228,0.007228
86,19279.1,0.56218,0.62001,0.21579,0.79966,0.71366,0.76797,0.46958,0.47041,0.57214,0.23741,0.007195,0.007195,0.007195
87,19483.5,0.57479,0.60679,0.21435,0.77581,0.71815,0.77034,0.4836,0.459,0.57201,0.23221,0.007162,0.007162,0.007162
88,19822.6,0.57767,0.61029,0.22105,0.78749,0.70738,0.77232,0.47555,0.45986,0.58551,0.23271,0.007129,0.007129,0.007129
89,20015.6,0.5618,0.61143,0.2179,0.79667,0.72547,0.78297,0.4856,0.4565,0.55934,0.22901,0.007096,0.007096,0.007096
90,20224,0.55808,0.60903,0.21854,0.79205,0.71652,0.78069,0.49074,0.45883,0.56079,0.23519,0.007063,0.007063,0.007063
91,20407.6,0.5615,0.61445,0.21814,0.79671,0.71869,0.78484,0.49062,0.45935,0.54969,0.22835,0.00703,0.00703,0.00703
92,20610.7,0.56276,0.59853,0.21368,0.80499,0.72263,0.78796,0.49637,0.44966,0.56467,0.22403,0.006997,0.006997,0.006997
93,20848.3,0.54543,0.60042,0.21456,0.80055,0.72187,0.79548,0.50165,0.44725,0.55764,0.22543,0.006964,0.006964,0.006964
94,21046.7,0.5467,0.60902,0.21563,0.8096,0.73511,0.8006,0.50109,0.44897,0.5547,0.22593,0.006931,0.006931,0.006931
95,21229.5,0.55606,0.60162,0.21357,0.83384,0.71792,0.79908,0.50538,0.4433,0.55093,0.22264,0.006898,0.006898,0.006898
